,coolant,stator_winding,ambient,stator_tooth,stator_yoke,pm,torque
0,18.80517196655273,19.086669921875,19.850690841674805,18.2932186126709,18.316547393798828,24.554214477539062,0.1871007978916168
1,18.81857109069824,19.092390060424805,19.85067176818848,18.29480743408203,18.31495475769043,24.53807830810547,0.2454174906015396
2,18.82876968383789,19.089380264282227,19.85065650939941,18.29409408569336,18.32630729675293,24.544692993164062,0.1766153424978256
3,18.835567474365234,19.083030700683597,19.85064697265625,18.29254150390625,18.330833435058597,24.554018020629883,0.2383027076721191
4,18.857032775878903,19.0825252532959,19.85063934326172,18.291427612304688,18.326662063598636,24.56539726257324,0.2081966549158096
5,18.90154838562012,19.07710838317871,19.85063362121582,18.29062843322754,18.323862075805664,24.57360076904297,0.4762178361415863
6,18.94171142578125,19.074583053588867,19.850629806518555,18.292524337768555,18.321935653686523,24.57657814025879,0.6700153350830078
7,18.960861206054688,19.08249855041504,19.85062789916992,18.29404067993164,18.31465530395508,24.574949264526367,0.7520354986190796
8,18.97354507446289,19.085533142089844,19.85062599182129,18.291963577270508,18.30692481994629,24.567079544067383,0.9105414152145386
9,18.987812042236328,19.076025009155277,19.850624084472656,18.287233352661133,18.301733016967773,24.553241729736328,0.9240097999572754
10,18.99870109558105,19.078054428100582,19.850622177124023,18.28650283813477,18.30541610717773,24.534229278564453,1.0335381031036377
11,19.004302978515625,19.083162307739254,19.8769588470459,18.28929901123047,18.30359268188477,24.5189208984375,1.0317845344543457
12,18.99006080627441,19.089574813842773,19.902965545654297,18.28706359863281,18.31222152709961,24.508377075195312,1.080854415893555
13,18.96543502807617,19.10191345214844,19.85196304321289,18.28453063964844,18.313796997070312,24.50167655944824,1.1154041290283203
14,18.929105758666992,19.101842880249023,19.85222816467285,18.284992218017575,18.31996154785156,24.476713180541992,1.0890792608261108
15,18.88047218322754,19.096738815307617,19.85196304321289,18.285400390625,18.332565307617188,24.459692001342773,1.15120267868042
16,18.83951759338379,19.092737197875977,19.92391586303711,18.28534698486328,18.33057403564453,24.45814514160156,1.0966111421585083
17,18.80728530883789,19.09233856201172,19.903139114379883,18.285306930541992,18.32253646850586,24.467418670654297,1.1633228063583374
18,18.779071807861328,19.09185791015625,19.88825035095215,18.285280227661133,18.31739616394043,24.47800064086914,1.1218205690383911
19,18.773731231689453,19.09414291381836,19.87758445739746,18.28402709960937,18.310976028442383,24.483293533325195,1.1148113012313845
20,18.800945281982425,19.102876663208008,19.86993980407715,18.28428268432617,18.3089542388916,24.50847816467285,1.1209051609039309
21,18.83547019958496,19.10789680480957,19.864463806152344,18.284276962280277,18.30624008178711,24.53093719482422,1.1102606058120728
22,18.84711456298828,19.10292625427246,19.86054039001465,18.284809112548828,18.302207946777344,24.538719177246094,1.1721737384796145
23,18.856868743896484,19.099063873291016,19.85772705078125,18.285888671875,18.30116844177246,24.530256271362305,1.1157753467559814
24,18.88525009155273,19.09810256958008,19.855712890625,18.28851127624512,18.30085182189941,24.52356719970703,0.6384467482566833
25,18.936124801635746,19.090200424194336,19.85426902770996,18.292667388916016,18.303977966308597,24.52557945251465,2.6897075176239014
26,18.967649459838867,19.08249282836914,19.853235244750977,18.293256759643555,18.321258544921875,24.487628936767575,10.858562469482422
27,18.974653244018555,19.08237838745117,19.85249328613281,18.291940689086918,18.33045768737793,24.462026596069336,18.124547958374023
28,18.984926223754883,19.08900451660156,19.85196304321289,18.289146423339844,18.323116302490234,24.440998077392575,23.2641658782959
29,18.994495391845703,19.077804565429688,19.851581573486328,18.28610038757324,18.31703758239746,24.435739517211918,26.644554138183597
